INDUSTRY,SUM(INR_AMOUNT),RANK_
"Domestic Help Aggregation platform",9612000,427
"On-demand Maids Service Provider",9612000,427
"eCommerce Product Search Engine",9612000,427
"Nightlife Discovery Mobile App",9612000,427
"Premium Apparel shopping portal",9612000,427
"Personal Diagnostic Mobile App",9612000,427
"Online Movie Review Platform",9612000,427
"Diagnostic Labs aggregator platform",9612000,427
"Online City & Lifestyle Guide",9612000,427
"Online Medical Diagnostic",9612000,427
"Digital Marketing Services",8971200,440
"Ridesharing Mobile app",8330400,441
"coupons and cashback aggregator app",8010000,442
"Social Network for Artists",7689600,443
"Video Streaming",7689600,443
"On Demand Laundry Services App",7048800,445
"On Demand Mobile app developer",6408000,446
"Car Maintenance & Management mobile app",6408000,446
"Cab Sharing service Mobile app",6408000,446
"Social platform for traders and investors",6408000,446
"Healthcare Services Discovery platform",6408000,446
"Cloud Based Collaboration platform",6408000,446
"Travel Destination Discovery platform",6408000,446
"Home Made Food Marketplace",6408000,446
"FinTech Startup Incubation platform",6408000,446
"ECommerce Brandsâ€™ Full Service Agency",6408000,446
"Gym & Fitness Studios Subscription platform",6408000,446
"Subscription based Online Grocery platform",6408000,446
"Picture based Social App",6408000,446
"on-Demand Washing & Dry-Cleaning",6408000,446
"Industrial Supplies B2B ecommerce",6408000,446
"Online Car Rental Affiliates",6408000,446
"Fund Raising Platform",6408000,446
"proximity marketing & Mobile Advertising platform",5126400,463
"Food Ordering & Delivery App",4934160,464
"Raw Meat & Ready to eat food etailer",4934160,464
"Location based Nightlife recommendationÂ  Platform",4934160,464
"Developer Portfolio Showcase platform",4485600,467
"Personalized Wish List creator app",3204000,468
"Coupon Aggregator Platform",1281600,469
Auto,0,470
BFSI,0,470
"Consumer Interne",0,470
"Brand Licensing Startup",0,470
"Gourmet Food Discovery & Delivery platform",0,470
"Health, Wellness & Beauty Services App",0,470
"Womens Fashion Wear Portal",0,470
"Product Learning platform",0,470
"Social Learning Platform",0,470
"Social Fitness platform",0,470
"Splitting Bills Mobile App",0,470
"IOT Energy Management Analytics platform",0,470
"eLearning platform",0,470
"Cloud Enterprise Mobility Platform",0,470
"Online Shopping Assistant Mobile app",0,470
"Chat based personal Assistant App",0,470
"eCommerce returns etailer",0,470
"Holiday Resort Chain",0,470
"Citizens Engagement Platform",0,470
"Indoor Navigation & Analytics Solutions",0,470
"Hyperlocal On-Demand Household Services platform",0,470
"ECommerce Website Creation SAAS platform",0,470
"Interface development platform for Government officials",0,470
"Private Jet Bookings Marketplace",0,470
"Event Venue Booking Platform",0,470
"Digital Media Platform",0,470
"Online Renting platform",0,470
"Online marketplace for Chef Meals",0,470
"ECommerce platform solutions",0,470
"Online Media Publication",0,470
"Bike, Appliances Renting marketplace",0,470
"Online Marketplace for Industrial Goods",0,470
"Reward points mobile app",0,470
"Content Discovery & reward points platform",0,470
"Digital Coupons, Deal & Cashback aggregator app",0,470
"Furniture and appliances rental platform",0,470
"Real Estate focused Tech platform",0,470
"hyperlocal online Services platform",0,470
"WiFi â€“ first Cloud communication platform",0,470
"Voice Call incentivization mobile app",0,470
"Selfie Mobile App",0,470
"Online Reputation Management Platform",0,470
"affordable Personal Healthcare Products",0,470
"Product Customization Platform",0,470
"Talent platform for Fashion professionals",0,470
"Hyperlocal Logistics Service Provider",0,470
"On Demand Laundry Service platform",0,470
"Home Improvement Service platform",0,470
"Express local delivery platform",0,470
"On-Demand Local Logistics provider",0,470
"Curated Freelancer Marketplace",0,470
"Online Taxi Rental Platform",0,470
"Online Gourmet Food Marketplace",0,470
"ecommerce related software product platform",0,470
"Home Healthcare Services platform,",0,470
"Automotive Services platform",0,470
"Big Data Analytics Platform",0,470
"Content Management Software Solutions",0,470
"Online Lending Marketplace",0,470
"On Demand Beauty Services Platform",0,470
"Education Content etailer",0,470
"Clud based Learning platform",0,470
"Talent Exchange & Talent Services Marketplace",0,470
"Mobile Application Developer",0,470
"extra curricular activities marketplace app",0,470
"Hyperlocal Online Home services provider",0,470
"Easy Business Loans platform",0,470
"Performance based Wholesale Marketplace",0,470
"Professional Services Marketplace",0,470
"bus ticketing and fleet management platform",0,470
"Online Income Tax Filing platform",0,470
"multi-sport program for preschoolers",0,470
"Organic Food etailer",0,470
"Product Discovery & comparison App",0,470
"Online Apparels Fashion brand",0,470
"Hotel Mobile CRM Software platform",0,470
"Doctors Network Mobile App",0,470
"360-degree view creating platform",0,470
"Online P2P lending marketplace",0,470
"B2B marketplace for industrial goods",0,470
"global community for travellers",0,470
"Prepaid Bill manager App",0,470
"Music Streaming mobile app",0,470
"Gym Discovery platform",0,470
"Online Purchase rewards app",0,470
"Home rental platform",0,470
"Crowdsourced Delivery platform",0,470
"Real Estate Insights platform",0,470
"Startup Funding Marketplace",0,470
"Order Fulfillment SAAS platform",0,470
"Gourmet Meals Delivery",0,470
"Healthy Meals Food delivery platform",0,470
"Personalized Stock Intelligence Platform",0,470
"Psychometric Test Online Software",0,470
"Online user engagement platform",0,470
"Online Grocery Store",0,470
"Investment management platform",0,470
"Industrial Toons Marketplace",0,470
"Artificial Intelligence Ecommerce Chatbot",0,470
"Truck Aggregator & Logistics service",0,470
"Payment Services platform",0,470
"Doctor consultancy Mobile App",0,470
"Beauty & Wellness Services Marketplace",0,470
"Smart Report Cards for Schools",0,470
"Teacher empowerment platform",0,470
"pre-used luxury item Marketplace",0,470
"Home Design & DÃ©cor platform",0,470
"Online Bus & Cab ticketing platform",0,470
"Prepaid Mobile Bill Manager App",0,470
"Home Fitting & Fixtures Marketplace",0,470
"ECommerce Data Analytics Platform",0,470
"Designer Merchandize Marketplace",0,470
"Hyperlocal Delivery Platform",0,470
"Food discovery & table booking app",0,470
"Financial Products lead generation platform",0,470
"Sustainable Agri-inputs Firm",0,470
"Pre-owned games Marketplace",0,470
"Content-based Subscription eCommerce platform",0,470
"Healthcare Consulting platform",0,470
"Stock Market Portal",0,470
"online meal-booking platform for train travelers",0,470
"Ecommerce Product recommendation platform",0,470
"Activity Based Social Network",0,470
"Consumer lending marketplace",0,470
"Local Mobile OS",0,470
"Tech-enabled learning",0,470
"on-demand home beauty and wellness portal",0,470
"Self Driven Car rental",0,470
"Energy & Environment Online Marketplace",0,470
"Rental Accomodation finder",0,470
"Luxury Apparel rental",0,470
"anonymous bulletin board app",0,470
"Travel community platform",0,470
"Car & Bike ecommerce platform",0,470
"Energy saving solutions provider",0,470
"Self-Storage Spaces",0,470
"Grocery retail Mobile app",0,470
"Machine Learning Platform",0,470
"Digital Marketing automation solution",0,470
"On-Demand Beauty Services",0,470
"Startup Focused Online Publisher",0,470
"App based Fitness coaching",0,470
"On demand cleaning & fixing services",0,470
"Beauty & Lifestyle platform",0,470
"Location based engagement & rewards platform",0,470
"Online Identity Verification Services platform",0,470
"Fashion Search & Review Platform",0,470
"pre-owned Luxury online apparel seller",0,470
"Scientific Horoscope Online Assistance platform",0,470
"Tech enabled AC bus service",0,470
"solar products and services marketplace",0,470
"Private Cloud Networks SAAS platform",0,470
"Education Marketplace",0,470
"Cloud Based Hotel Sales Platform",0,470
"online recipe sharing platform",0,470
"Digital Media publishing platform",0,470
"Big Data & predictive Analysis Platform",0,470
"Business IT Intelligence Services",0,470
"Ed-Tech Platform",0,470
"Cab rental Mobile app",0,470
"Mobile Fitness Marketplace",0,470
"P2P Pre-owned goods marketplace",0,470
"Online Tailoring Services",0,470
"Rail Ticket Confirmation predictor",0,470
"Hyperlocal Goods marketplace",0,470
"Financial Tech",0,470
"Food Discovery App",0,470
"Fashion Info Aggregator App",0,470
"Online Study Notes Marketplace",0,470
"Online Grocery Delivery",0,470
"Live video streaming app",0,470
"Online Hiring Platform",0,470
"Casual Dating App",0,470
"Private Jet/ Helicopter Marketplace",0,470
"Ethnic/ Traditional Fashion Store",0,470
"B2B logistics delivery platform",0,470
"Logistics Automation Platform",0,470
"On-Demand Laundry & Dry cleaning App",0,470
"On-Demand Car services App",0,470
"Online Curated Holiday package bookings",0,470
"Beauty and Wellness Platform",0,470
"Used two-wheeler Marketplace",0,470
"Tech-enabled Rural Healthcare Services",0,470
"Engineering Innovations",0,470
"P2P Payments platform",0,470
"Women Lifestyle Marketplace",0,470
"Artist / Designer Marketplace",0,470
"Online Printing Services",0,470
"Travel Guide Mobile App",0,470
"Skill Training & Placement Platform",0,470
"online tiffin service aggregator",0,470
"Electronic Goods recycling service",0,470
"Parents & Kids Online platform",0,470
"On-Demand Logistics Service",0,470
"Health & Fitness App",0,470
"Travel Search Engine",0,470
"Brain Games Platform",0,470
"Algorithmic Match Making Platform",0,470
"Science Learning App",0,470
"Beauty services Mobile Marketplace",0,470
"Online Lingerie platform",0,470
"Railways Information Mobile app",0,470
"Hyperlocal grocery delivery",0,470
"Speech Recognition Solutions",0,470
"Service-On-Demand Mobile App",0,470
"Intelligent Data Analytics",0,470
"Online Office Rental",0,470
"Online News Media",0,470
"Enterprise Communication Platform",0,470
"Online Travel Planning",0,470
"Rooftop Solar Plants",0,470
"Online Car Portal",0,470
"Payments Solution Provider",0,470
"Weight Management Service",0,470
"Mobile Health Tech",0,470
"On-Demand Handyman Services",0,470
"Beauty & Wellness Mobile App",0,470
"Restaurant reservation app",0,470
"Spam Call block App",0,470
"Clean Tech",0,470
"Online Furniture ecommerce",0,470
"Mobile Food Ordering app",0,470
