investors,no_of_investments,invested_amount
"ADAG Reliance Private Equity",1,804000000
"Sequoia Capital India, Omidyar Network, Kae Capital",1,804000000
"Ravi Adusumalli, SAIF Partners",1,804000000
"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",1,804000000
"Sequoia India, NEA, Prime Venture Partners",1,803559000
"New Enterprise Associates",1,801000000
"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",1,783960000
"Ascent Capital, Kalaari Capital",1,768960000
"Accel US, Accel India, SAIF Partners.",1,768960000
"Zodius Technology Opportunities Fund, Matrix Partners",1,743700000
"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",1,737000000
"DAH Beteiligungs GmbH",1,718630000
"Sunrise Capital GmBH, Big Data Investments B.V",1,704880000
"Sequoia Capital, Empire Angels, NGP",1,704880000
"Sequoia Capital, Nexus Venture Partners, Blume Ventures",1,704880000
"Faering Capital, Foundation Capital, Inventus Capital Partners",1,704880000
"Verlinvest SA",1,670000000
"Omidyar Network",1,670000000
"WRV Capital and IndusAge Partners, Infosys Innovation Fund",1,670000000
"Unilazer Ventures,",1,670000000
"Lightspeed Venture Partners India, Lightspeed US",1,670000000
"Star India Pvt. Ltd",1,670000000
"Kaizen Management Advisors, DeVry Inc",1,670000000
"Paytm & existing investors",1,670000000
"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",1,670000000
"Tiger Global Management, Ratan Tata, Nexus Venture Partners",1,653616000
"ain Capital Ventures, Renaud Laplanche",1,653300000
"International Finance Corporation",1,653300000
"Accel Partners, Nandan Nilekani,",1,653300000
"Sequoia Capital India",1,653300000
"Star India Pvt Ltd",1,653300000
"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",1,653300000
"RB Investments, SAIF Partners, Bessemer Venture Partners",1,653300000
"Lohia Group, Andre Hoffman",1,653300000
"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",1,653300000
"CLSA Capital Partners ARIA IV Funds",1,640800000
"Gaja Capital Private Equity Fund",1,640800000
"Sequoia and Kalaari Capital.",1,640800000
"Qualcomm Venture, Norwest Venture Partners",1,640800000
"Sequoia Capital, Nexus Venture Partners",1,640800000
"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",1,640800000
"Fidelity Growth Partners, Fidelity Biosciences",1,640800000
"Sachin Bansal, Bunny Bansal & other investors",1,640800000
"SAIF Partners,Â  Accel Partners",1,640800000
"Fidelity Growth Partners India, SAIF Partners,Â  Helion Ventures",1,640800000
"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,Â  SAIF Partners, Vertex Ventures",1,640800000
"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",1,640800000
"SAIF Partners, Sequoia Capital",1,640800000
"SEEK Ltd & affiliates",1,640800000
"Sequoia Capital, Accel Partners",1,615168000
"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",1,608760000
"NSI Infinium Global Pvt. Ltd",1,596300000
"Kalaari Capital, SAIF Partners, Beenextan investment fund",1,589536000
"Flipkart, Accel Partners, Delhivery, Foxconn",1,576720000
"Tiger Global Management, Matrix Partners",1,576720000
"Kalaari Capital, Nexus India Capital Advisors",1,555305000
"Development finance institution Belgian Investment Company, Oikocredit",1,551088000
"Venturra Capital, Sequoia India, Susquehanna International Group.Â  Wavemaker Partners, Beenext, Beenos, Digital Garage",1,536000000
"Accel Partners, RB Investments",1,536000000
"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",1,536000000
"Bertelsmann India",1,535706000
"LGT Group, Asian Healthcare fund, Seedfund",1,525456000
"Blue Orchard",1,522640000
"Sistema Asia Fund, Amereus Group, Helion Ventures",1,522640000
"SF Capital Group",1,512640000
"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",1,512640000
"Bessemer Venture Partners, SAIF Partners",1,512640000
"Yes Bank",1,509574000
"Urrshila Kerkar",1,503041000
"IIFL Seed Ventures Fund, Mayfield Ventures",1,502500000
"Quona Capital",1,496508000
"KTB Network, SAIF Partners, BEENEXT, Digital Garage",1,495800000
"Tiger Global Management, Flipkart",1,493416000
"Vertex Ventures, Lumis Partners",1,489975000
"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",1,482400000
"Jitu Virwani",1,480600000
"Sequoia Capital, Matrix Partners",1,480600000
"Sequoia Capital, Lightspeed Ventures",1,480600000
"HR Technology fund",1,480600000
"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",1,469000000
"Norwest Venture Partners, DST Global, Accel Partners",1,469000000
"Lightspeed India Partners, Waterbridge Ventures",1,457310000
"Delhivery, Sands Capital and Accel Partners",1,448560000
PayU,1,435500000
"Lightspeed Venture Partners, Vy Capital,",1,431178000
"PayU, Ribbit Capital, Omidyar Network",1,424645000
"Sequoia Capital, Tree Line Asia, Innoven Capital",1,422928000
"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",1,411579000
"Sequoia India, BEENEXT, Helion Ventures",1,402000000
"InnoVen Capital India",1,402000000
"Vertex Ventures, Cisco Ventures, IDG Ventures",1,402000000
"JSW Ventures, Blume Ventures & IvyCap Ventures",1,402000000
"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",1,402000000
"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",1,402000000
"RB Investments PTE Ltd, Orios Venture Partners",1,402000000
GVFL,1,402000000
"IDG Ventures India, Inventus Capital, Blume Ventures",1,402000000
"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",1,402000000
"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",1,402000000
"RB Investments, Sequoia Capital",1,391980000
"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",1,388600000
"SAIF Partners, Haresh Chawla",1,384480000
"Unnamed Media house and HNIs",1,384480000
"DSG Consumer Partners, Saama Capital.",1,384480000
"Matrix Partners India, SAIF Partners",1,384480000
"Accel Partners, Flipkart",1,384480000
"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",1,384480000
"Greycroft Partners, Fidelity Growth Partners",1,384480000
"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",1,378914000
"Nahata Family, Waheed Alli",1,361800000
"Nexus Venture Partners, Omidyar Network",1,359315000
"Accel Partners, Nandan Nilekaniâ€™s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",1,359315000
"Frontline Strategy",1,358848000
"IDG Ventures, Sequoia Capital, GREE Ventures",1,355100000
"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",1,352440000
"New Enterprise Associates (NEA), Blume Ventures",1,348400000
"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",1,345050000
"RTP-HC, Wonder Ventures, Techstars Ventures & Others",1,335000000
"Softbank Group",1,335000000
"Recruit Holdings",1,335000000
"Lightbox Ventures and others",1,335000000
"Accel Partners, IDG Ventures India",1,335000000
"Aspada Advisors, IDG Ventures,Â  Inventus Capital",1,335000000
"Michael & Susan Dell Foundation",1,335000000
"Tata Capital Innovation Fund",1,335000000
"Lightbox Ventures",1,335000000
"Omidyar Network,",1,335000000
"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",1,326650000
"Snow Leopard Ventures, Alto Partners",1,326650000
"Vertex Ventures, C31 Ventures",1,326650000
"Impanix Capital",1,326650000
"Rohto Pharmaceutical",1,326650000
"Accel Partners, Shunwei Capital",1,326650000
"Mayfield India, Trifecta Capital",1,326650000
"Nexus Venture Partners, Innoven Capital",1,326650000
"Bren Corporation",1,320400000
"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",1,320400000
"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTelâ€™s Innov8, Jungle Ventures, K Ganesh",1,320400000
Delhivery,1,320400000
"Nexus Venture Partners, Knoll Ventures and others",1,320400000
"DMG information Asia Pacific",1,320400000
"Forum Synergies PE Fund",1,320400000
"Snow Leopard, Paytm",1,320400000
"Sequoia Capital, Seedfund",1,320400000
"ASK Pravi",1,320400000
"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",1,320400000
"Accel Partners, Tiger Global Management",1,320400000
"KJS Group",1,320400000
"Accel Partners, Kalaari Capital",1,320400000
"Tiger Global Management, Lightspeed Venture Partners",1,320400000
"Sarva Capital",1,314900000
"Catamaran Ventures, New India Investment Corporation",1,310788000
"Anicut Capital",1,303784500
"IvyCap Ventures, Orios Venture Partners, Mayfield India",1,301500000
"General Catalyst, Founder Collective",1,300518000
"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",1,300518000
"HT Media Ltd",1,294800000
"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",1,293985000
"Mayfield, Nishant Rao, Dileep Nath",1,293985000
"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",1,293985000
"Accel Partners, Jungle Ventures, SeedPlus",1,281400000
"Helion Venture Partners, Exfinity Ventures",1,272340000
"New Enterprise Associates, Orios Venture Partners",1,269136000
"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",1,268000000
"SAIF Partners, IDG Ventures India",1,268000000
"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",1,268000000
"Sequoia Capital, Unitus Seed Fund",1,268000000
"Artiman Ventures",1,268000000
"Wipro Ventures,Â  Lumis Partners",1,268000000
"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",1,268000000
"Undisclosed US Based Investors",1,268000000
"Deutsche Telekom Strategic Investments & Others",1,267853000
"IDG Ventures India Advisors, Jungle Ventures",1,261320000
"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",1,261320000
"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",1,261320000
"Seedfund, RB International",1,261320000
"DG Ventures India, Dewan Housing Finance Corp",1,261320000
"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",1,261320000
"GMO Japan, Neelesh Bhatnagar",1,261320000
"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",1,256320000
"Aspada Investment Advisors, Qualcomm Ventures",1,256320000
InfoEdge,1,256320000
"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",1,251250000
"Mathew Cyriac, Florintree Advisors,",1,248254000
"Songhyun Investment",1,241200000
"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",1,241067700
"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",1,239761100
"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",1,238454500
"Agnus Capital, Khattar Holdings",1,235188000
"Brian Acton",1,234500000
"Lemelson Foundation, Michael and Susan Dell Foundation",1,234500000
"Ronnie Screwvala",1,228655000
"Accel Partners India, RB Investments",1,224280000
"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",1,218855500
"Raghav Bahl",1,211464000
"WGG International",1,209056000
"Anil Jain & other HNIs",1,209056000
"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",1,202523000
"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",1,201000000
"IDG Ventures, Accel Partners",1,201000000
"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",1,201000000
"Kalaari Capital, IDG Ventures India",1,201000000
"Prime Venture Partners, Kalaari Capital",1,201000000
"Xchange Investors NV, TransGlobal FZC",1,201000000
"Fork Media",1,201000000
CureFit,1,201000000
"Dr. Abhishek Pandey, Jaysukh Sapra",1,201000000
"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",1,201000000
"GVFL Ltd",1,201000000
"Mayfield India II Management Ltd",1,201000000
"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",1,201000000
"SIDBI Venture Capital Limited, YourNest Angel Fund",1,201000000
"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",1,201000000
"Mitsui & Co.",1,195990000
"Kalaari Capital, Udayan Goyal",1,195990000
"RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",1,195990000
"Innovations East",1,195990000
"Zephyr Peacock India",1,195990000
"SIDBI Venture Capital Ltd, Kalaari Capital",1,195990000
"Samridhi Fund",1,195990000
"Shunwei Capital",1,195990000
"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",1,195990000
"SAIF Partners, Accion",1,192240000
Infosys,1,192240000
"Palred Technologies Ltd",1,192240000
"Hampton Capital",1,192240000
"High Networth Individuals from India & USA",1,192240000
"Aarin Capital, Unitus Seed Fund",1,192240000
"Kalaari Capital, YourNest Angel Fund",1,192240000
"Helion Venture Partners, Kalaari Capital",1,192240000
"DSG Consumer Partners, Saama Capital",1,192240000
"Mangroves Capital Partners, Vikas Saxena",1,192240000
"DMG Information",1,192240000
"Neoteric Infomatique Limited",1,192240000
"Biz Stone",1,192240000
"Sierra Ventures, Cota Capital, Vegas Tech Fund",1,189036000
"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",1,184250000
"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",1,180900000
"Aspada Investments",1,176391000
"Infuse Ventures, JLL",1,169858000
"Mistletoe, M&S Partners",1,167500000
"General Catalyst Partners",1,167500000
"BlackSoil Capital Pvt. Ltd.",1,167500000
"Syska LED group",1,167500000
"Vipul Parekh, ajesh K Murthy,",1,167500000
"Insitor Impact Asia Fund, Acumen Fund",1,167500000
"IFMR Capital Finance",1,163325000
"Mitesh Majithia",1,160200000
"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",1,160200000
"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",1,160200000
"IDG Ventures India, Elevar Equity, Accion Venture Lab",1,160200000
Commonfloor,1,160200000
"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",1,156792000
"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",1,154100000
"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",1,153792000
"Mahindra and Mahindra Financial Services",1,150259000
"HDFC, Faering Capital, Elevate Sports",1,147400000
"Undisclosed Investors & Tamarind Family Private Trust",1,147400000
"Dunamis Ventures Pte Ltd",1,146992500
"Vedanta Capital, William Campbell, Toos N Daruvala",1,146992500
"William Bissell, Neeraj Aggarwal, Nandan Nilekani",1,144180000
"ABM Knowledgeware",1,143726000
"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",1,140976000
"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",1,137193000
"Siddhartha Gupta, Ashvin Chadha",1,134000000
"Ivy League Alumni Angel Network",1,134000000
"Manish Maheshwari, Contrarian Vriddhi Fund",1,134000000
"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",1,134000000
"Naveen Arya, Tarun Joshi",1,134000000
"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",1,134000000
"Sophia Investment ApS",1,134000000
"Aramex Ventures Llc",1,134000000
"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",1,134000000
"Romulus Capital",1,134000000
"Yeahmobi, Fenqile",1,134000000
"3 undisclosed HNIs",1,134000000
"FF Angel, Sequoia Capital",1,134000000
"Man Capital",1,134000000
"CASHurDRIVE Marketing Pvt Ltd",1,134000000
"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",1,130660000
"Alphard Maritime Group",1,130660000
"Endiya Partners, Ventureast",1,130660000
"SAP.iO, Unilazer Ventures",1,130660000
"IndiaNivesh Venture Capital Fund",1,130660000
"Pankaj Gupta",1,128160000
"Unilazer Ventures, Orios Venture Partners, Steven Lurie",1,128160000
"Chicago Capital Ventures, Sanjay Mehta, Others",1,128160000
"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",1,128160000
"TCS, HDFC, Faering Capital, Elevate Sports",1,128160000
"IDG Ventures India, Kalaari Capital, 500 Startups",1,128160000
"IDG Ventures India,Â  Accel Partners India",1,128160000
"Sanjeev Kapoor,Â  Ravi Saxena & Others",1,128160000
"Karanpal Singh",1,128160000
"Cataraman Ventures",1,128160000
"Infuse Ventures, The Chennai Angels",1,128160000
"Rocket Internet",1,128160000
"IDG Ventures India, Omidyar Network, Sherpalo Ventures,Â  Mohandas Pai",1,128160000
"Oliphabs Capital",1,128160000
"Exfinity Ventures",1,128160000
"Helion Venture Partners, Orios Venture Partners",1,128160000
"Arun Chandra Mohan, Praveen Sinha",1,128160000
"Rajendra Gogri,Â  Chandrakant Gogri",1,128160000
"Nirvana Venture Advisors",1,128160000
"Accel Partners, SAIF Partners",1,128160000
"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",1,128160000
"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",1,121752000
"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",1,120600000
"SIDBI Venture Capital Fund",1,116940700
"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",1,115344000
"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,Â  Abhishek Jain",1,113900000
"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",1,112140000
"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",1,108936000
"Flipkart Logistics Pvt. Ltd",1,105860000
"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",1,102528000
"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",1,100500000
"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",1,100500000
"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",1,100500000
"Accel Partners, Matrix Partners, Girish Mathrubootham",1,100500000
"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",1,100500000
"Sashi Reddi & Other unnamed investors",1,100500000
"Arihant Patni, RAAY Global Investments",1,98042400
"Soma Capital, Great Oaks Ventures, 122 West Ventures",1,97995000
"Tolaram Inc, Mountain Pine Capital",1,97995000
"S. Xavier Britto",1,97995000
"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",1,97995000
"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,Â  Ralph Berezan, Vissal Mathew,Â  Balamurali Krishna",1,96120000
"Michael & Susan Dell Foundation, Unitus Seed Fund",1,96120000
"Ashok Agarwal",1,96120000
"Sameer Koticha",1,96120000
"Michael & Susan Dell Foundation, Pearson Learning Fund",1,96120000
"Lakshmi Vilas Bank & undisclosed HNIs",1,93800000
"Nandan Nilekani, Accel Partners",1,93800000
"Unilazer Fund,Â  Phanindra Sama, Peyush Bansal",1,93800000
"Manish Kheterpal, Alok Mittal,Â  Puneet Dalmia,",1,92916000
"Times Internet, GVFL",1,91462000
"Infina Finance Pvt. Ltd, Uday Kotak",1,90450000
"IDG Ventures, Blume Ventures, Saha Fund,",1,88195500
"IDG Ventures, Endiya Partners",1,88195500
"Max Levchin, Scott Banister",1,87100000
"Orios Venture Partners, Zishaan Hayath",1,83304000
"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",1,83304000
"Accel Partners, Traxcn Labs & Others",1,83304000
"SQue Capital, Grace Capital Ventures, Soham Vencaps",1,80400000
"Kiran Mazumdar-Shaw, Unitus Seed Fund",1,80400000
"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",1,80400000
"Rebright Partners, Anand Rajaraman, Venky Harinarayan",1,80400000
"Stellaris Venture Partners,",1,78396000
"Atul Nishar",1,78396000
"pi Ventures, Blume Ventures",1,78396000
Unilazer,1,76896000
"Kris Gopalakrishnan & Others",1,76896000
"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",1,76896000
"M&S Partners",1,76896000
"Abhishek Gupta",1,76896000
"Orios Venture Partners, Mayfield India",1,76896000
"Saama Capital, Raghunandan G, Aprameya Radhakrishna",1,73700000
"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",1,73692000
"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",1,71863000
"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",1,71863000
"Plug and Play Tech Center, Steelhead Ventures & Others",1,71690000
"ah! Ventures, 500 Startups & Other HNIs",1,70488000
