year,month,industryvertical,total_funding
2015,Dec,"Logistics Service Provider Marketplace",128160000
2015,Dec,"Logistics Services Provider",1922400000
2015,Dec,"Medical Consultation & Doctor appointment booking platform",32040000
2015,Dec,"Mobile accessories online store",192240000
2015,Dec,"Mobile Car Servicing appointment app",32040000
2015,Dec,"Mobile Fitness App",64080000
2015,Dec,"Mobile Game development & Design platform",64080000
2015,Dec,"Mobile Point of Sale solutions",160200000
2015,Dec,"Mobile Wallet",422928000
2015,Dec,"Modular Furnishings Marketplace",224280000
2015,Dec,"New Curation Mobile App",9612000
2015,Dec,"Nonbanking finance company",192240000
2015,Dec,"On Demand Mobile app developer",6408000
2015,Dec,"Online Branded Furniture etailer",320400000
2015,Dec,"Online Education Information platform",64080000
2015,Dec,"Online Food ordering & Delivery platform",6408000
2015,Dec,"Online Freight Services Aggregator",1602000000
2015,Dec,"Online marketplace for Chef Meals",0
2015,Dec,"Online Marketplace for Industrial Goods",0
2015,Dec,"Online Media Publication",0
2015,Dec,"Online Renting platform",0
2015,Dec,"Online RTI application services",9612000
2015,Dec,"Online School for Analytics learning",192240000
2015,Dec,"Online Shopping Assistant Mobile app",0
2015,Dec,"Online Wedding Marketplace",1281600000
2015,Dec,"Performance Optimization Platform for athletes",192240000
2015,Dec,"Photographer Online search & booking platform",140976000
2015,Dec,"Picture creation & Social mobile app",22428000
2015,Dec,"Private Jet Bookings Marketplace",0
2015,Dec,"Product Learning platform",0
2015,Dec,"QSR Chain",1922400000
2015,Dec,"Real Estate focused Tech platform",0
2015,Dec,"Reward points mobile app",0
2015,Dec,"Smart Safety Wearable Devices",16020000
2015,Dec,"Social Fitness platform",0
2015,Dec,"Social Learning Platform",0
2015,Dec,"Splitting Bills Mobile App",0
2015,Dec,"Sports Education Platform",128160000
2015,Dec,"Supply Chain & Logistics Solutions",640800000
2015,Dec,"Test Automation SAAS platform",38448000
2015,Dec,"Transportation & Logistics Platform",358848000
2015,Dec,"Virtual Health consultation app",76896000
2015,Dec,"visual search and discovery platform",64080000
2015,Dec,"Wedding Venues & Vendors Marketplace",64080000
2015,Dec,"Womens Fashion Wear Portal",0
2015,Jul,"B2B logistics delivery platform",0
2015,Jul,"Big Data & Analytics platform",2755440000
2015,Jul,"Bike Rental Platform",50623200
2015,Jul,"Budget Accommodation aggregator",192240000
2015,Jul,"Business intelligence & Analytics",153792000
2015,Jul,"Business IT Intelligence Services",0
2015,Jul,"Cab rental Mobile app",0
2015,Jul,"Casual Dating App",0
2015,Jul,"Casual Dining restaurant Chain",640800000
2015,Jul,"Celebrity Fashion Brand",480600000
2015,Jul,"Chinese food delivery",10765440
2015,Jul,"Clinical Genomics Provider",1281600000
2015,Jul,"Contact Center Software Platform",320400000
2015,Jul,"Coupon Aggregator Platform",1281600
2015,Jul,"CRM / Analytics platform",64080000
2015,Jul,"Crowd Funding Platform",44856000
2015,Jul,"Custom Furniture Marketplace",25311600
2015,Jul,"Custom Merchandize platform",64080000
2015,Jul,"Ed-Tech Platform",0
2015,Jul,"Educational Board Games",10765440
2015,Jul,"Electric Scooter manufacturer",0
2015,Jul,"Ethnic Beverages manufacturer",1922400000
2015,Jul,"Ethnic/ Traditional Fashion Store",0
2015,Jul,"F&B sector Mobile Payment platform",102528000
2015,Jul,"Fashion Info Aggregator App",0
2015,Jul,"Financial Tech",0
2015,Jul,"Fine Dining Restaurant Chain",1922400000
2015,Jul,"Fitness Marketplace",64080000
2015,Jul,"Food Delivery platform",0
2015,Jul,"Food Discovery App",0
2015,Jul,"Hasbro Toy Manufacturer",128160000
2015,Jul,"Health-Tech platform",64080000
2015,Jul,"Healthcare Mobile App",653616000
2015,Jul,"Hyper local logistics platform",704880000
2015,Jul,"Hyperlocal Electronics repair Service",40370400
2015,Jul,"Hyperlocal food & grocery store",83304000
2015,Jul,"Hyperlocal Goods marketplace",0
2015,Jul,"Hyperlocal Grocery App",32040000
2015,Jul,"Hyperlocal Handyman Services",128160000
2015,Jul,"Industrial Supplies B2B ecommerce",6408000
2015,Jul,"Innovative Water Solutions",76896000
2015,Jul,"Internet of Things platform",10316880
2015,Jul,"IT infrastructure & Data Center services",865080000
2015,Jul,"Language Learning App",416520000
2015,Jul,"Live video streaming app",0
2015,Jul,"Logistics Automation Platform",0
2015,Jul,"Luxury Rental Homes",817020000
2015,Jul,"Medical Tech Instruments",153792000
2015,Jul,"Mobile Fitness Marketplace",0
2015,Jul,"Mobile Point of Sale payment solution",1602000000
2015,Jul,"News Aggregator mobile app",1281600000
2015,Jul,"On-Demand Car services App",0
2015,Jul,"On-Demand Laundry & Dry cleaning App",0
2015,Jul,"Online budget hotel chain",961200000
2015,Jul,"Online comparison engine",640800000
2015,Jul,"Online Curated Holiday package bookings",0
2015,Jul,"Online Finance lending platform",640800000
2015,Jul,"Online Food-Tech Platform",30117600
2015,Jul,"Online Grocers",20505600
2015,Jul,"Online Grocery Delivery",0
2015,Jul,"Online Hiring Platform",0
2015,Jul,"Online Jewellery Store",1038096000
2015,Jul,"Online Jewelry Store",38448000
2015,Jul,"Online Logistics Platform",0
2015,Jul,"Online Study Notes Marketplace",0
2015,Jul,"Online Tailoring Services",0
2015,Jul,"Organic Food ecommerce",64080000
2015,Jul,"P2P Pre-owned goods marketplace",0
2015,Jul,"Payment Solutions platform",310788000
2015,Jul,"Physical Storage warehouses",19224000
2015,Jul,"Pre-School Chain",43894800
2015,Jul,"Premium Loyalty Rewards Point Management",1239948000
2015,Jul,"Private Jet/ Helicopter Marketplace",0
2015,Jul,"Rail Ticket Confirmation predictor",0
2015,Jul,"Real Estate Broker network App",64080000
2015,Jul,"Real Estate Rating & Analysis",320400000
2015,Jul,"Residential Rental management platform",0
2015,Jul,"Restaurant customer engagement platform",147384000
2015,Jul,"Self-driven vehicle rental",704880000
2015,Jul,"Spa & Salon Management Software",384480000
2015,Jul,"Tech enabled logistics platform",32040000
2015,Jul,"Tech Recruitment platform",480600000
2015,Jul,"Travel information portal",961200000
2015,Jul,"Travel Tech",320400000
2015,Jul,"Used Bikes Marketplace",961200000
2015,Jul,"Used Car Marketplace",320400000
2015,Jul,"Used Vehicle Marketplace",1025280000
2015,Jul,"Warranty Programs Service Administration",38448000
2015,Jun,"3D Printer Manufacturer",192240000
2015,Jun,"Algorithmic Match Making Platform",0
2015,Jun,"App Analytics platform",32040000
2015,Jun,"Architectural Design & Consulting",32040000
2015,Jun,"Artist / Designer Marketplace",0
2015,Jun,"Auto Rickshaw Based Services",320400000
2015,Jun,"Beauty and Wellness Platform",0
2015,Jun,"Beauty services Mobile Marketplace",0
2015,Jun,"Bespoke Merchandize Marketplace",16020000
2015,Jun,"Brain Games Platform",0
2015,Jun,"Credit Management Services",160200000
2015,Jun,"Data Center Software platform",961200000
2015,Jun,"Data Driven recruitment recommendation",320400000
2015,Jun,"Dental Clinic chain",525456000
2015,Jun,"Digital Marketing Services",8971200
2015,Jun,"Electronic Goods recycling service",0
2015,Jun,"Engineering Innovations",0
2015,Jun,"Fashion Ecommerce store",320400000
2015,Jun,"Financial Services Platform",704880000
2015,Jun,"Flat rental Mobile App",160200000
2015,Jun,"Food Delivery Platform",198648000
2015,Jun,"Freight logistics platform",384480000
2015,Jun,"Global Healthcare products",1025280000
2015,Jun,"Health & Fitness App",0
2015,Jun,"HealthcareService provider",640800000
2015,Jun,"Healthy Food Manufacturer",384480000
2015,Jun,"Healthy Food Online Community",22428000
2015,Jun,"Home services marketplace",256320000
2015,Jun,"Hyperlocal grocery delivery",0
2015,Jun,"Hyperlocal Handyman Services",41652000
2015,Jun,"Hyperlocal services marketplace",640800000
2015,Jun,"Hyperlocal Shopping App",1281600000
2015,Jun,"Intra-City Logistics service",32040000
2015,Jun,"IT / Customer Engagement Consulting",320400000
2015,Jun,"Logistics Tech",352440000
2015,Jun,"Marketing / Advertising Automation platform",64080000
2015,Jun,"Micro Finance Platform",551088000
2015,Jun,"Mobile Chat based concierge service",102528000
2015,Jun,"Mobile Commerce Platform",14994720
2015,Jun,"Mobile Compression Software",22428000
2015,Jun,"On-Demand Logistics Service",0
2015,Jun,"Online Budget Hotel Booking Service",384480000
2015,Jun,"Online Car Rental Affiliates",6408000
2015,Jun,"Online City & Lifestyle Guide",9612000
2015,Jun,"Online Coupon & comparison platform",32040000
2015,Jun,"Online Education Marketplace",64080000
2015,Jun,"Online Education Platform",0
2015,Jun,"Online Fashion Video Portal",64080000
2015,Jun,"Online Food Ordering",1057320000
2015,Jun,"Online Grocery platform",0
2015,Jun,"Online Learning Platform",256320000
2015,Jun,"Online Lingerie platform",0
2015,Jun,"Online Printing Services",0
2015,Jun,"online tiffin service aggregator",0
2015,Jun,"P2P Payments platform",0
2015,Jun,"Parents & Kids Online platform",0
2015,Jun,"Peer to Peer Lending platform",16020000
2015,Jun,"Preventive Healthcare Services",22428000
2015,Jun,"Private Label lingerie Ecommerce",320400000
2015,Jun,"Probiotic Technology Products Manufacturer",35244000
2015,Jun,"Railways Information Mobile app",0
2015,Jun,"Real Estate Intelligence Platform",192240000
2015,Jun,"Renewable energy solutions",32040000
2015,Jun,"SaaS product intelligence platform",961200000
2015,Jun,"Science Learning App",0
2015,Jun,"Skill Training & Placement Platform",0
2015,Jun,"Social Network for Artists",7689600
2015,Jun,"Startup funding platform",640800000
2015,Jun,"Tech-enabled Rural Healthcare Services",0
2015,Jun,"Travel Guide Mobile App",0
2015,Jun,"Travel Search Engine",0
2015,Jun,"Used Car Marketplace",32040000
2015,Jun,"Used two-wheeler Marketplace",0
2015,Jun,"Video Advertisement Platform",32040000
2015,Jun,"Video Intelligence Platform",64080000
2015,Jun,"Wealth Management Platform",96120000
2015,Jun,"Women Lifestyle Marketplace",0
2015,May,"Affordable Education",41652000
2015,May,"Affordable Hotel Booking Online",320400000
2015,May,"API Workflow platform",64080000
2015,May,"B2C Messaging App",192240000
2015,May,"Banking Analytics Platform",961200000
2015,May,"Business Messaging App",1025280000
2015,May,"Career Development",16020000
2015,May,"Cloud Data Integration Platform",128160000
2015,May,"Customer Engagement Platform",40050000
2015,May,"Electric Scooter Manufacturer",768960000
2015,May,"Enterprise Communication Platform",0
2015,May,"Fund Raising Platform",6408000
2015,May,"Health & Fitness App",0
2015,May,"Health Mobile App",30117600
2015,May,"Hyperlocal Mobile Marketplace",352440000
2015,May,"Intelligent Data Analytics",0
2015,May,"Last Mile Logistics",15379200
2015,May,"Lifestyle Ecommerce Portal",320400000
2015,May,"Logistics Intelligence",11534400
2015,May,"Mobile Fitness App",0
2015,May,"Mobile Laundry Cleaning Service",128160000
2015,May,"Offline Tea Chain",64080000
2015,May,"On-Demand Business messaging",12816000
2015,May,"On-demand Service marketplace",128160000
2015,May,"Online Art Marketplace",12816000
2015,May,"Online Car Portal",0
2015,May,"Online Ed-Tech Platform",64080000
2015,May,"Online Education Platform",1089360000
2015,May,"Online Fashion Aggregator",16020000
2015,May,"Online Food Delivery",1249560000
2015,May,"Online Home DÃ©cor",64080000
2015,May,"Online Job skills Showcase",17301600
2015,May,"Online Medical Diagnostic",9612000
2015,May,"Online News Media",0
2015,May,"Online Office Rental",0
2015,May,"Online Payment Gateway",0
2015,May,"Online Product Comparison",64080000
2015,May,"Online Security Platform",128160000
2015,May,"Online Table Reservation",32040000
2015,May,"Online Travel Planning",0
2015,May,"Parents focused Web Content",32040000
2015,May,"Payments Solution Provider",0
2015,May,"Real Estate Advisory",384480000
2015,May,"Rooftop Solar Plants",0
2015,May,"Self-driven Car rental",320400000
2015,May,"Service-On-Demand Mobile App",0
2015,May,"Speech Recognition Solutions",0
2015,May,"Trucking Logistic Operations",640800000
2015,May,"Weight Management Service",0
2015,May,"Workforce Management Software",35244000
2015,Nov,"affordable Personal Healthcare Products",0
2015,Nov,"Alternate Mobile Monetization platform",320400000
2015,Nov,"Auto Insurance Online platform",32040000
2015,Nov,"Automotive Services platform",0
2015,Nov,"Beauty and Wellness Marketplace",64080000
2015,Nov,"Big Data Analytics Platform",0
2015,Nov,"Branded Food products online sales",38448000
2015,Nov,"Budget Hotels Aggregator",32040000
2015,Nov,"Bus Aggregation and rental mobile app",48060000
2015,Nov,"character merchandize sales platform",34603200
2015,Nov,"Clud based Learning platform",0
2015,Nov,"Content Management Software Solutions",0
2015,Nov,"conversational commerce mobile app",160200000
2015,Nov,"Cricket Management Mobile Game",16020000
2015,Nov,"Curated Freelancer Marketplace",0
2015,Nov,"Designer fashion Jewellery Marketplace",480600000
2015,Nov,"Digital Intelligent learning platform",16020000
2015,Nov,"Domestic Help Aggregation platform",9612000
2015,Nov,"Ecommerce Delivery locker services",576720000
2015,Nov,"Ecommerce Discount & Cashback coupons platform",237096000
2015,Nov,"eCommerce Product Search Engine",9612000
2015,Nov,"ecommerce related software product platform",0
2015,Nov,"Education Content etailer",0
2015,Nov,"Education Content Provider",1730160000
2015,Nov,"Efficient Energy Management platform",1063728000
2015,Nov,"Event Ticketing platform",31399200
2015,Nov,"Express local delivery platform",0
2015,Nov,"extra curricular activities marketplace app",0
2015,Nov,"Fitness Tracking Management Solutions",858672000
2015,Nov,"Health and Beauty Services Marketplace",16020000
2015,Nov,"Health-Tech platform",19544400
2015,Nov,"Healthcare Services Discovery platform",6408000
2015,Nov,"Home Healthcare Services platform,",0
2015,Nov,"Home Improvement Service platform",0
2015,Nov,"Home Stay & room rentals platform",12816000
2015,Nov,"Hyperlocal healthcare product Delivery Service provider",64080000
2015,Nov,"Hyperlocal Logistics Service Provider",0
2015,Nov,"Hyperlocal Online Home services provider",0
2015,Nov,"hyperlocal online Services platform",0
2015,Nov,"Indian Ethnic Crafts Etailer",76896000
2015,Nov,"Kids Tool kit for Innovation platform",33962400
2015,Nov,"Marketplace App for Bangkok",121752000
2015,Nov,"Mobile App based Loan disbursement platform",96120000
2015,Nov,"Mobile Application Developer",0
2015,Nov,"Mobile Growth HackingPlatform",32040000
2015,Nov,"Mobile Learning Solutions",19224000
2015,Nov,"Mobile Services Marketplace",1602000000
2015,Nov,"mobile-only tasks marketplace",961200000
2015,Nov,"Nightlife Discovery Mobile App",9612000
2015,Nov,"Numerical Computing & Data Science Platform",38448000
2015,Nov,"On Demand Beauty Services Platform",0
2015,Nov,"On Demand Laundry Service platform",0
2015,Nov,"On Demand Laundry Services App",7048800
2015,Nov,"On-Demand Local Logistics provider",0
2015,Nov,"On-demand Maids Service Provider",9612000
2015,Nov,"Online content platform for women",128160000
2015,Nov,"Online Counselling and psychological support platform",25632000
2015,Nov,"Online Food Ordering & Delivery platform",12816000
2015,Nov,"Online Food Ordering Marketplace",9612000
2015,Nov,"Online Furniture, Home Appliances Rental Platform",128160000
2015,Nov,"Online Gourmet Food Marketplace",0
2015,Nov,"Online Grocery platform",115344000
2015,Nov,"Online Jewellery etailer",29156400
2015,Nov,"Online Lending Marketplace",0
2015,Nov,"Online Loans Marketplace",20505600
2015,Nov,"Online Products Discovery Platform",12816000
2015,Nov,"Online Real Estate Marketplace",192240000
2015,Nov,"Online Reputation Management Platform",0
2015,Nov,"Online Taxi Rental Platform",0
2015,Nov,"Online Vehicle Spare Parts etailer",29476800
2015,Nov,"Premium dining Lounges & restaurants",961200000
2015,Nov,"Product Customization Platform",0
2015,Nov,"Quick Service Restaurant & Online Delivery",24670800
2015,Nov,"Ready to cook packaged Foods",384480000
2015,Nov,"Sales & Productivity Software",801000000
2015,Nov,"Self Driven Rental Car Platform",128160000
2015,Nov,"Selfie Mobile App",0
2015,Nov,"Skill Training Startup",96120000
2015,Nov,"Smartwatch Maker",32040000
2015,Nov,"Social platform for traders and investors",6408000
2015,Nov,"Talent Exchange & Talent Services Marketplace",0
2015,Nov,"Talent platform for Fashion professionals",0
2015,Nov,"Two-Wheeler Taxi Service",92916000
2015,Nov,"Viral Content web Platform",256320000
2015,Nov,"Virtual Reality Headset creator",11534400
2015,Nov,"Voice Call incentivization mobile app",0
2015,Nov,"WiFi â€“ first Cloud communication platform",0
2015,Oct,"360-degree view creating platform",0
2015,Oct,"Advertising & Marketing Community Networking platform",64080000
2015,Oct,"Artificial Intelligence Ecommerce Chatbot",0
2015,Oct,"Asset Financing platform",70488000
2015,Oct,"Autorickshaw Aggregator & Booking platform",640800000
2015,Oct,"B2B marketplace for industrial goods",0
2015,Oct,"Beauty & Wellness Products e-tailer",608760000
2015,Oct,"bus ticketing and fleet management platform",0
2015,Oct,"Cloud Based Collaboration platform",6408000
2015,Oct,"Competitive exam learning platform",128160000
2015,Oct,"Crowdsourced Delivery platform",0
2015,Oct,"Delivery & Logistics Service provider",1281600000
2015,Oct,"Developer Portfolio Showcase platform",4485600
2015,Oct,"Doctors Network Mobile App",0
2015,Oct,"Document Digitization platform",14738400
2015,Oct,"E-Learning Service Provider",192240000
2015,Oct,"Easy Business Loans platform",0
2015,Oct,"End-to-End Lending platform",512640000
2015,Oct,"Exclusive Platform for Doctors & Healthcare professionals",44856000
2015,Oct,"Fashion jewelry and accessories e-tailer",961200000
2015,Oct,"Food Discovery & Delivery Mobile app",480600000
2015,Oct,"Food Ordering & Delivery App",4934160
2015,Oct,"Gesture based Mobile Development",493416000
2015,Oct,"global community for travellers",0
2015,Oct,"Gourmet Meals Delivery",0
2015,Oct,"Gym Discovery platform",0
2015,Oct,"Healthcare IT Solutions & services",640800000
2015,Oct,"Healthy Meals Food delivery platform",0
2015,Oct,"Home Cooked Food marketplace & Delivery",128160000
2015,Oct,"Home Made Food Marketplace",6408000
2015,Oct,"Home rental platform",0
2015,Oct,"Hotel Aggregator & booking platform",16020000
2015,Oct,"Hotel Mobile CRM Software platform",0
2015,Oct,"Hyperlocal Logistics Service",640800000
2015,Oct,"Industrial Toons Marketplace",0
2015,Oct,"Investment management platform",0
2015,Oct,"Job Board",32040000
2015,Oct,"Last Mile Delivery Service",448560000
2015,Oct,"Location based Nightlife recommendationÂ  Platform",4934160
2015,Oct,"Logistics Tech Platform",19864800
2015,Oct,Micro-Brewery,98042400
2015,Oct,"Mobile Messaging Assistant App",160200000
2015,Oct,"Mobile Only Shopping Assistant",64080000
2015,Oct,"Mobile Payments App",384480000
2015,Oct,"Movie-on-demand platform",22428000
2015,Oct,"multi-sport program for preschoolers",0
2015,Oct,"Music Streaming mobile app",0
2015,Oct,"on-demand healthcare marketplace",19224000
2015,Oct,"Online Apparels Fashion brand",0
2015,Oct,"Online Consumer Lending platform",64080000
2015,Oct,"Online food ordering & Delivery service",73692000
2015,Oct,"Online Grocery Store",0
2015,Oct,"Online Homeopathy Clinic",384480000
2015,Oct,"Online Income Tax Filing platform",0
2015,Oct,"Online Logistics Platform",320400000
2015,Oct,"Online P2P lending marketplace",0
2015,Oct,"Online Payment Gateway",576720000
2015,Oct,"Online Purchase rewards app",0
2015,Oct,"Online Student & Campus Social Networking platform",25632000
2015,Oct,"Online user engagement platform",0
2015,Oct,"Order Fulfillment SAAS platform",0
2015,Oct,"Organic Food etailer",0
2015,Oct,"Payments Solution platform",1602000000
2015,Oct,"Performance based Wholesale Marketplace",0
