year,industryvertical,total_funding
2015,"Online Fashion Aggregator",16020000
2015,"Robotic Program learning",16020000
2015,"Logistics service platform",15699600
2015,"Last Mile Logistics",15379200
2015,"Real-Time stock data platform",15058800
2015,"Mobile Commerce Platform",14994720
2015,"Document Digitization platform",14738400
2015,"Exam Preparation Platform",14097600
2015,"Study Material Marketplace",13136400
2015,"Cab search Comparison & Booking platform",12816000
2015,"International Hiring Platform",12816000
2015,"Home Stay & room rentals platform",12816000
2015,"Online Products Discovery Platform",12816000
2015,"Virtual Reality activity based learning platform",12816000
2015,"Online Art Marketplace",12816000
2015,"On-Demand Business messaging",12816000
2015,"Web Content Publishing",12816000
2015,"Device Repair Svcs",12816000
2015,"Ride Sharing platform",12175200
2015,"Virtual Reality Headset creator",11534400
2015,"Logistics Intelligence",11534400
2015,"Educational Board Games",10765440
2015,"Chinese food delivery",10765440
2015,"Price Comparison",10573200
2015,"Waste Management Solutions",10252800
2015,"QSR Restaurant Chain",10252800
2015,"Online Diagnostic Tests Marketplace",9996480
2015,"Online RTI application services",9612000
2015,"New Curation Mobile App",9612000
2015,"Online Food Ordering Marketplace",9612000
2015,"Domestic Help Aggregation platform",9612000
2015,"On-demand Maids Service Provider",9612000
2015,"eCommerce Product Search Engine",9612000
2015,"Nightlife Discovery Mobile App",9612000
2015,"Premium Apparel shopping portal",9612000
2015,"Personal Diagnostic Mobile App",9612000
2015,"Online Movie Review Platform",9612000
2015,"Diagnostic Labs aggregator platform",9612000
2015,"Online City & Lifestyle Guide",9612000
2015,"Online Medical Diagnostic",9612000
2015,"Digital Marketing Services",8971200
2015,"Ridesharing Mobile app",8330400
2015,"coupons and cashback aggregator app",8010000
2015,"Social Network for Artists",7689600
2015,"Video Streaming",7689600
2015,"On Demand Laundry Services App",7048800
2015,"On Demand Mobile app developer",6408000
2015,"Car Maintenance & Management mobile app",6408000
2015,"Cab Sharing service Mobile app",6408000
2015,"Social platform for traders and investors",6408000
2015,"Healthcare Services Discovery platform",6408000
2015,"Cloud Based Collaboration platform",6408000
2015,"Travel Destination Discovery platform",6408000
2015,"Home Made Food Marketplace",6408000
2015,"FinTech Startup Incubation platform",6408000
2015,"ECommerce Brandsâ€™ Full Service Agency",6408000
2015,"Gym & Fitness Studios Subscription platform",6408000
2015,"Subscription based Online Grocery platform",6408000
2015,"Picture based Social App",6408000
2015,"on-Demand Washing & Dry-Cleaning",6408000
2015,"Industrial Supplies B2B ecommerce",6408000
2015,"Online Car Rental Affiliates",6408000
2015,"Fund Raising Platform",6408000
2015,"proximity marketing & Mobile Advertising platform",5126400
2015,"Food Ordering & Delivery App",4934160
2015,"Raw Meat & Ready to eat food etailer",4934160
2015,"Location based Nightlife recommendationÂ  Platform",4934160
2015,"Developer Portfolio Showcase platform",4485600
2015,"Personalized Wish List creator app",3204000
2015,"Coupon Aggregator Platform",1281600
2015,"Brand Licensing Startup",0
2015,"Gourmet Food Discovery & Delivery platform",0
2015,"Health, Wellness & Beauty Services App",0
2015,"Womens Fashion Wear Portal",0
2015,"Product Learning platform",0
2015,"Social Learning Platform",0
2015,"Social Fitness platform",0
2015,"Splitting Bills Mobile App",0
2015,"IOT Energy Management Analytics platform",0
2015,"eLearning platform",0
2015,"Cloud Enterprise Mobility Platform",0
2015,"Online Shopping Assistant Mobile app",0
2015,"Chat based personal Assistant App",0
2015,"eCommerce returns etailer",0
2015,"Holiday Resort Chain",0
2015,"Citizens Engagement Platform",0
2015,"Indoor Navigation & Analytics Solutions",0
2015,"Hyperlocal On-Demand Household Services platform",0
2015,"ECommerce Website Creation SAAS platform",0
2015,"Interface development platform for Government officials",0
2015,"Private Jet Bookings Marketplace",0
2015,"Event Venue Booking Platform",0
2015,"Digital Media Platform",0
2015,"Online Renting platform",0
2015,"Online marketplace for Chef Meals",0
2015,"ECommerce platform solutions",0
2015,"Online Media Publication",0
2015,"Bike, Appliances Renting marketplace",0
2015,"Online Marketplace for Industrial Goods",0
2015,"Reward points mobile app",0
2015,"Content Discovery & reward points platform",0
2015,"Digital Coupons, Deal & Cashback aggregator app",0
2015,"Furniture and appliances rental platform",0
2015,"Real Estate focused Tech platform",0
2015,"hyperlocal online Services platform",0
2015,"WiFi â€“ first Cloud communication platform",0
2015,"Voice Call incentivization mobile app",0
2015,"Selfie Mobile App",0
2015,"Online Reputation Management Platform",0
2015,"affordable Personal Healthcare Products",0
2015,"Product Customization Platform",0
2015,"Talent platform for Fashion professionals",0
2015,"Hyperlocal Logistics Service Provider",0
2015,"On Demand Laundry Service platform",0
2015,"Home Improvement Service platform",0
2015,"Express local delivery platform",0
2015,"On-Demand Local Logistics provider",0
2015,"Curated Freelancer Marketplace",0
2015,"Online Taxi Rental Platform",0
2015,"Online Gourmet Food Marketplace",0
2015,"ecommerce related software product platform",0
2015,"Home Healthcare Services platform,",0
2015,"Automotive Services platform",0
2015,"Big Data Analytics Platform",0
2015,"Content Management Software Solutions",0
2015,"Online Lending Marketplace",0
2015,"On Demand Beauty Services Platform",0
2015,"Education Content etailer",0
2015,"Clud based Learning platform",0
2015,"Talent Exchange & Talent Services Marketplace",0
2015,"Mobile Application Developer",0
2015,"extra curricular activities marketplace app",0
2015,"Hyperlocal Online Home services provider",0
2015,"Easy Business Loans platform",0
2015,"Performance based Wholesale Marketplace",0
2015,"Professional Services Marketplace",0
2015,"bus ticketing and fleet management platform",0
2015,"Online Income Tax Filing platform",0
2015,"multi-sport program for preschoolers",0
2015,"Organic Food etailer",0
2015,"Product Discovery & comparison App",0
2015,"Online Apparels Fashion brand",0
2015,"Hotel Mobile CRM Software platform",0
2015,"Doctors Network Mobile App",0
2015,"360-degree view creating platform",0
2015,"Online P2P lending marketplace",0
2015,"B2B marketplace for industrial goods",0
2015,"global community for travellers",0
2015,"Prepaid Bill manager App",0
2015,"Music Streaming mobile app",0
2015,"Gym Discovery platform",0
2015,"Online Purchase rewards app",0
2015,"Home rental platform",0
2015,"Crowdsourced Delivery platform",0
2015,"Real Estate Insights platform",0
2015,"Startup Funding Marketplace",0
2015,"Order Fulfillment SAAS platform",0
2015,"Gourmet Meals Delivery",0
2015,"Healthy Meals Food delivery platform",0
2015,"Personalized Stock Intelligence Platform",0
2015,"Psychometric Test Online Software",0
2015,"Online user engagement platform",0
2015,"Online Grocery Store",0
2015,"Investment management platform",0
2015,"Industrial Toons Marketplace",0
2015,"Artificial Intelligence Ecommerce Chatbot",0
2015,"Truck Aggregator & Logistics service",0
2015,"Payment Services platform",0
2015,"Doctor consultancy Mobile App",0
2015,"Beauty & Wellness Services Marketplace",0
2015,"Smart Report Cards for Schools",0
2015,"Teacher empowerment platform",0
2015,"pre-used luxury item Marketplace",0
2015,"Home Design & DÃ©cor platform",0
2015,"Online Bus & Cab ticketing platform",0
2015,"Prepaid Mobile Bill Manager App",0
2015,"Home Fitting & Fixtures Marketplace",0
2015,"ECommerce Data Analytics Platform",0
2015,"Designer Merchandize Marketplace",0
2015,"Hyperlocal Delivery Platform",0
2015,"Food discovery & table booking app",0
2015,"Financial Products lead generation platform",0
2015,"Sustainable Agri-inputs Firm",0
2015,"Pre-owned games Marketplace",0
2015,"Content-based Subscription eCommerce platform",0
2015,"Healthcare Consulting platform",0
2015,"Stock Market Portal",0
2015,"online meal-booking platform for train travelers",0
2015,"Ecommerce Product recommendation platform",0
2015,"Activity Based Social Network",0
2015,"Consumer lending marketplace",0
2015,"Local Mobile OS",0
2015,"Tech-enabled learning",0
2015,"on-demand home beauty and wellness portal",0
2015,"Self Driven Car rental",0
2015,"Energy & Environment Online Marketplace",0
2015,"Rental Accomodation finder",0
2015,"Luxury Apparel rental",0
2015,"anonymous bulletin board app",0
2015,"Travel community platform",0
2015,"Car & Bike ecommerce platform",0
2015,"Energy saving solutions provider",0
2015,"Self-Storage Spaces",0
2015,"Grocery retail Mobile app",0
2015,"Machine Learning Platform",0
2015,"Digital Marketing automation solution",0
2015,"On-Demand Beauty Services",0
2015,"Startup Focused Online Publisher",0
2015,"App based Fitness coaching",0
2015,"On demand cleaning & fixing services",0
2015,"Beauty & Lifestyle platform",0
2015,"Location based engagement & rewards platform",0
2015,"Online Identity Verification Services platform",0
2015,"Fashion Search & Review Platform",0
2015,"pre-owned Luxury online apparel seller",0
2015,"Scientific Horoscope Online Assistance platform",0
2015,"Tech enabled AC bus service",0
2015,"solar products and services marketplace",0
2015,"Private Cloud Networks SAAS platform",0
2015,"Education Marketplace",0
2015,"Cloud Based Hotel Sales Platform",0
2015,"online recipe sharing platform",0
2015,"Digital Media publishing platform",0
2015,"Big Data & predictive Analysis Platform",0
2015,"Business IT Intelligence Services",0
2015,"Ed-Tech Platform",0
2015,"Cab rental Mobile app",0
2015,"Mobile Fitness Marketplace",0
2015,"P2P Pre-owned goods marketplace",0
2015,"Online Tailoring Services",0
2015,"Rail Ticket Confirmation predictor",0
2015,"Hyperlocal Goods marketplace",0
2015,"Financial Tech",0
2015,"Food Discovery App",0
2015,"Fashion Info Aggregator App",0
2015,"Online Study Notes Marketplace",0
2015,"Online Grocery Delivery",0
2015,"Live video streaming app",0
2015,"Online Hiring Platform",0
2015,"Casual Dating App",0
2015,"Private Jet/ Helicopter Marketplace",0
2015,"Ethnic/ Traditional Fashion Store",0
2015,"B2B logistics delivery platform",0
2015,"Logistics Automation Platform",0
2015,"On-Demand Laundry & Dry cleaning App",0
2015,"On-Demand Car services App",0
2015,"Online Curated Holiday package bookings",0
2015,"Beauty and Wellness Platform",0
2015,"Used two-wheeler Marketplace",0
2015,"Tech-enabled Rural Healthcare Services",0
2015,"Engineering Innovations",0
2015,"P2P Payments platform",0
2015,"Women Lifestyle Marketplace",0
2015,"Artist / Designer Marketplace",0
2015,"Online Printing Services",0
2015,"Travel Guide Mobile App",0
2015,"Skill Training & Placement Platform",0
2015,"online tiffin service aggregator",0
2015,"Electronic Goods recycling service",0
2015,"Parents & Kids Online platform",0
2015,"On-Demand Logistics Service",0
2015,"Health & Fitness App",0
2015,"Travel Search Engine",0
2015,"Brain Games Platform",0
2015,"Algorithmic Match Making Platform",0
2015,"Science Learning App",0
2015,"Beauty services Mobile Marketplace",0
2015,"Online Lingerie platform",0
2015,"Railways Information Mobile app",0
2015,"Hyperlocal grocery delivery",0
2015,"Speech Recognition Solutions",0
2015,"Service-On-Demand Mobile App",0
2015,"Intelligent Data Analytics",0
2015,"Online Office Rental",0
2015,"Online News Media",0
2015,"Enterprise Communication Platform",0
2015,"Online Travel Planning",0
2015,"Rooftop Solar Plants",0
2015,"Online Car Portal",0
2015,"Payments Solution Provider",0
2015,"Weight Management Service",0
2015,"Mobile Health Tech",0
2015,"On-Demand Handyman Services",0
2015,"Beauty & Wellness Mobile App",0
2015,"Restaurant reservation app",0
2015,"Spam Call block App",0
2015,"Clean Tech",0
2015,"Online Furniture ecommerce",0
2015,"Mobile Food Ordering app",0
2016,"Consumer Internet",58274925000
2016,eCommerce,27138122736
2016,Technology,25896371000
2016,Logistics,2555715000
2016,Education,2181855000
2016,Finance,2123900000
2016,"Food & Beverage",1590312000
2016,Others,1285596000
2016,Healthcare,1031800000
2016,"Real Estate",167500000
2016,Reality,67000000
2016,FMCG,34840000
2016,Auto,0
2016,BFSI,0
2016,"Consumer Interne",0
2017,"Consumer Internet",28948637620
2017,Technology,17317709065
2017,eCommerce,12175094790
2017,Logistics,4736425000
2017,Healthcare,2740136190
2017,"Food & Beverage",653300000
2017,Education,535706000
2017,Finance,522640000
2017,"Food & Beverages",11432750
2017,Others,0
