citylocation,industryvertical,total_funding
Chennai,"Mobile Laundry Cleaning Service",128160000
Bangalore,"On-demand Service marketplace",128160000
"New Delhi","Premium Beverages",128160000
"Bangalore/ Bangkok","Marketplace App for Bangkok",121752000
Gurgaon,"Online Grocery platform",115344000
Bhopal,"Dairy Based Product Manufacturer",115344000
"Bangalore / SFO","Last Minute Travel Deals mobile marketplace",115344000
"New Delhi","Food Delivery Platform",112140000
Bangalore,"Data Science & UX design Learning platform",108936000
Kolkata,"Quick Service Restaurant Chain",102528000
Mumbai,"F&B sector Mobile Payment platform",102528000
"New Delhi","Mobile Chat based concierge service",102528000
"New Delhi","Hyperlocal Mobile Services Marketplace",102528000
Hyderabad,"Food & Beverage",100500000
Mumbai,Micro-Brewery,98042400
Bangalore,"Last Minute Hotel Booking App",96120000
Bangalore,"Skill Training Startup",96120000
Mumbai,"Mobile App based Loan disbursement platform",96120000
Mumbai,"Wealth Management Platform",96120000
"New Delhi","Private Coaching Centers",96120000
Gurgaon,"Two-Wheeler Taxi Service",92916000
Mumbai,"Crowd funding platform",89712000
Jaipur,"Consumer Internet",87252300
Indore,"Consumer Internet",86899000
"New Delhi","On-Demand Delivery Logistics",83304000
Bangalore,"Logistics Tech Platform",83304000
Bangalore,"Hyperlocal food & grocery store",83304000
Bangalore,"Online Kitchen Furniture",80100000
Mumbai,"Virtual Health consultation app",76896000
Coimbatore,"Electric Bike Manufacturers",76896000
Bangalore,"Indian Ethnic Crafts Etailer",76896000
Hyderabad,"Mobile App testing platform",76896000
"Gurgaon / SFO","Cross-device retargeting platform",76896000
Gurgaon,"Innovative Water Solutions",76896000
Mumbai,"OnDemandMobile Handyman Services",76896000
Gurgaon,"Online food ordering & Delivery service",73692000
Bangalore,"Online Health & Wellness platform",73692000
Mumbai,"Asset Financing platform",70488000
"New Delhi",Finance,67000000
Goa,"Consumer Internet",67000000
Mumbai,"Food & Beverage",67000000
Lucknow,Education,67000000
Delhi,eCommerce,67000000
Bangalore,Reality,67000000
"Pune / Dubai","Consumer Internet",67000000
Vadodara,Ecommerce,67000000
Jaipur,"Online Education Information platform",64080000
Mumbai,"Wedding Venues & Vendors Marketplace",64080000
"Bangalore / Palo Alto","visual search and discovery platform",64080000
Goa,"Mobile Fitness App",64080000
Bangalore,"Mobile Game development & Design platform",64080000
Bangalore,"Grocery Delivery platform",64080000
Mumbai,"Beauty and Wellness Marketplace",64080000
Gurgaon,"Hyperlocal healthcare product Delivery Service provider",64080000
"New Delhi","Online Consumer Lending platform",64080000
"New Delhi","Advertising & Marketing Community Networking platform",64080000
"New Delhi","Mobile Only Shopping Assistant",64080000
Mumbai,"Structural & Civil Engg Service Automation",64080000
Mumbai,"Personalized Styling platform",64080000
Bangalore,"pre-used apparel shopping mobile app",64080000
Mumbai,"Chain of Tea CafÃ©â€™s",64080000
Bangalore,"Online Meat Ordering platform",64080000
Noida,"Budget Accommodation Platform",64080000
Bangalore,"Digital Signal processing platform",64080000
Bangalore,"mobile payment software platform",64080000
Chennai,"Deep Learning Cloud Algorithms",64080000
Bangalore,"Corporate Wellness App",64080000
Bangalore,"On-Demand App based Professional service provider",64080000
Chennai,"CRM / Analytics platform",64080000
Ahmedabad,"Custom Merchandize platform",64080000
"New Delhi","Organic Food ecommerce",64080000
Mumbai,"Fitness Marketplace",64080000
Gurgaon,"Real Estate Broker network App",64080000
Mumbai,"Health-Tech platform",64080000
Mumbai,"Online Fashion Video Portal",64080000
Noida,"Video Intelligence Platform",64080000
"New Delhi","Online education marketplace",64080000
Bangalore,"Marketing / Advertising Automation platform",64080000
Bangalore,"Online Product Comparison",64080000
"New Delhi","Offline Tea Chain",64080000
Noida,"Online Ed-Tech Platform",64080000
Hyderabad,"Online Home DÃ©cor",64080000
Bangalore,"API Workflow platform",64080000
"Dallas / Hyderabad","Location Based App",64080000
Noida,"Online Hotel Booking",64080000
Chandigarh,"Auto Rickshaw based Logistics",64080000
Mumbai,"Food Logistics & Delivery",64080000
Gurgaon,"Used Gadgets Buy / Refurbishing",64080000
Noida,Education,60300000
Vadodara,"Consumer Internet",59630000
Gurgaon,"Luxury goodsÂ  Shopping Platform",57672000
Bangalore,"InteractiveÂ  How-To Guides",57672000
Panaji,Technology,53897250
Bangalore,"virtual reality, 3d simulation and stereoscopic products",51264000
Bangalore,"Bike Rental Platform",50623200
Mumbai,"Tech Platform for property brokers",50302800
Gurgaon,"Multilingual Test Preparation Platform",49341600
Noida,"Career Community for Women",49341600
Bangalore,"Job Search Platform",48700800
Mumbai,"Artificial Intelligence platform",48060000
Mumbai,"Bus Aggregation and rental mobile app",48060000
Pune,"Exclusive Platform for Doctors & Healthcare professionals",44856000
Gurgaon,"Pre-School Chain",43894800
Pune,"fund raising platform for startups",41652000
Hyderabad,"Affordable Education",41652000
Bangalore,"residential rental management platform",41011200
Gurgaon,"Fast food Chain Franchisee",40370400
Mumbai,"Hyperlocal Electronics repair Service",40370400
Bangalore,"Customer Engagement Platform",40050000
Hyderabad/USA,"Test Automation SAAS platform",38448000
Bangalore,"Branded Food products online sales",38448000
Bangalore,"Numerical Computing & Data Science Platform",38448000
"New Delhi","Community Driven News/Views Platform",38448000
Gurgaon,"Online Food ordering & delivery",38448000
Hyderabad,"Online marketplace for Photographers",38448000
"New Delhi","Visual Blogging platform",38448000
"New Delhi","Warranty Programs Service Administration",38448000
Mumbai,"Online Jewelry Store",38448000
Bangalore,"Food & Beverage",36850000
Chennai,"Probiotic Technology Products Manufacturer",35244000
Bangalore,"Workforce Management Software",35244000
Mumbai,"character merchandize sales platform",34603200
Bangalore,"Kids Tool kit for Innovation platform",33962400
Bangalore,Finance,33500000
Gwalior,"Consumer Internet",32665000
"New Delhi","Enterprise Marketing Automation platform",32040000
"New Delhi","Digital Analytics Platform",32040000
"New Delhi","Internet Network Infrastructure Services",32040000
Gurgaon,"Medical Consultation & Doctor appointment booking platform",32040000
Bangalore,"Mobile Car Servicing appointment app",32040000
"New Delhi","Budget Hotels Aggregator",32040000
Hyderabad,"Mobile Growth HackingPlatform",32040000
Gurgaon,"Auto Insurance Online platform",32040000
Belgaum,"Smartwatch Maker",32040000
Mumbai,"Job Board",32040000
Gurgaon,"QSR & Online delivery portal",32040000
"New Delhi","Professionals & Project Search Marketplace",32040000
Noida,"hotel booking app",32040000
Mumbai,"App securityÂ  testing platform",32040000
Mumbai,"Loyalty Programs & Reward Points",32040000
Gurgaon,"Taxi Rental platform",32040000
Noida,"Ecommerce Marketing Software Platform",32040000
Gurgaon,"Online Food Community Platform",32040000
Mumbai,"Tech enabled logistics platform",32040000
Gurgaon,"Hyperlocal Grocery App",32040000
Mumbai,"Used Car Marketplace",32040000
Hyderabad,"Architectural Design & Consulting",32040000
Mumbai,"Renewable energy solutions",32040000
Bangalore,"Intra-City Logistics service",32040000
Mumbai,"Online Coupon & comparison platform",32040000
Bangalore,"Video Advertisement Platform",32040000
Bangalore,"App Analytics platform",32040000
Bangalore,"Online Table Reservation",32040000
Bangalore,"Parents focused Web Content",32040000
Bangalore,"business expense management",32040000
Chennai,"Hiring Analytics platform",32040000
Pune,"Event Ticketing platform",31399200
Coimbatore,eCommerce,30150000
Mumbai,"Online Food-Tech Platform",30117600
Bangalore,"Health Mobile App",30117600
Pune,"Online Vehicle Spare Parts etailer",29476800
"New Delhi","Online Jewellery etailer",29156400
Mumbai,"Public Commute helper App",28836000
Mumbai,"B2B Mobile Auction Marketplace",28836000
Gurgaon,"Wedding Planning Platform",26272800
Gwalior,"Online Counselling and psychological support platform",25632000
Ahmedabad,"Online Student & Campus Social Networking platform",25632000
Bangalore,"Government Test Preparation platform",25632000
Bangalore,"Online Interior Designing platform",25632000
Noida,"Employee OnBoarding & Orientation platform",25632000
Pune,"Restaurant Discount app",25632000
Mumbai,"Professional Service Appointment booking service",25632000
Mumbai,"On-Demand Beauty Service",25632000
Jaipur,"Interactive Educational Games",25632000
Bangalore,"Financial Markets Software",25632000
Mumbai,"Custom Furniture Marketplace",25311600
Indore,Logistics,25125000
Mumbai,FMCG,24790000
Mumbai,"Quick Service Restaurant & Online Delivery",24670800
Gurgaon,"Food & Beverage",24656000
Missourie,Technology,22865500
Mumbai,"Picture creation & Social mobile app",22428000
Singapore,"Movie-on-demand platform",22428000
Mumbai,"Professional Health Services Platform",22428000
"New Delhi","Real Estate Broker Platform App",22428000
"New Delhi","Fashion Discovery platform",22428000
"New Delhi","Healthy Food Online Community",22428000
Pune,"Preventive Healthcare Services",22428000
Mumbai,"Mobile Compression Software",22428000
Pune,"Restaurant Management Platform",22428000
Mumbai,"Online Loans Marketplace",20505600
Ahmedabad,"Online Grocers",20505600
Bangalore,"Non Profit Organization to alleviate poverty",20185200
Mumbai,"Logistics Tech Platform",19864800
Gurgaon,"on-demand delivery service",19864800
Bangalore,"Health-Tech platform",19544400
Mumbai,"B2B Merchandize platform",19416240
"Noida / Singapore","Mobile Learning Solutions",19224000
Mumbai,"on-demand healthcare marketplace",19224000
Noida,"Branded Budget Hotel Marketplace",19224000
"New Delhi","Private Label Apparel sales",19224000
Ahmedabad,"Food Customer analytics platform",19224000
Bangalore,"Online Coffee Delivery platform",19224000
Mumbai,"Physical Storage warehouses",19224000
"New Delhi",Ed-Tech,19224000
Bangalore,"Online Job skills Showcase",17301600
Jaipur,Technology,16750000
Kolkata,"Consumer Internet",16583000
"New Delhi","Smart Safety Wearable Devices",16020000
Mumbai,"Digital Intelligent learning platform",16020000
Hyderabad,"Cricket Management Mobile Game",16020000
Gurgaon,"Health and Beauty Services Marketplace",16020000
"New Delhi","Hotel Aggregator & booking platform",16020000
"New Delhi","mobile social network",16020000
Chennai,"Online printing marketplace",16020000
Pune,"Professional Custom creators Marketplace",16020000
Pune,"Bespoke Merchandize Marketplace",16020000
Gurgaon,"Peer to Peer Lending platform",16020000
Hyderabad,"Career Development",16020000
Mumbai,"Online Fashion Aggregator",16020000
Hyderabad,"Robotic Program learning",16020000
Ahmedabad,"Logistics service platform",15699600
Bangalore,"Last Mile Logistics",15379200
Bangalore,"Real-Time stock data platform",15058800
Gurgaon,"Mobile Commerce Platform",14994720
Gurgaon,"Document Digitization platform",14738400
Noida,"Food & Beverage",14606000
"New Delhi","Exam Preparation Platform",14097600
Noida,Healthcare,13400000
Kanpur,"Consumer Internet",13400000
"New Delhi","Study Material Marketplace",13136400
"New Delhi","Cab search Comparison & Booking platform",12816000
"Mumbai / NY","International Hiring Platform",12816000
Gurgaon,"Online Food Ordering & Delivery platform",12816000
Goa,"Home Stay & room rentals platform",12816000
Gurgaon,"Online Products Discovery Platform",12816000
"New Delhi","Virtual Reality activity based learning platform",12816000
Gurgaon,"Online Art Marketplace",12816000
Bangalore,"On-Demand Business messaging",12816000
Gurgaon,"Web Content Publishing",12816000
"New Delhi","Device Repair Svcs",12816000
Hyderabad,"Ride Sharing platform",12175200
Bangalore,"Virtual Reality Headset creator",11534400
Goa,"Logistics Intelligence",11534400
Mumbai,"Food & Beverages",11432750
Bangalore,"Educational Board Games",10765440
Mumbai,"Chinese food delivery",10765440
Jodhpur,"Consumer Internet",10720000
Hyderabad,"Price Comparison",10573200
Kolkata,"Digital / Mobile Wallet",10573200
Gurgaon,"Internet of Things platform",10316880
Mumbai,"Waste Management Solutions",10252800
Pune,"QSR Restaurant Chain",10252800
Chennai,FMCG,10050000
Hyderabad,Healthcare,10050000
Pune,Healthcare,10050000
"New Delhi","Online Diagnostic Tests Marketplace",9996480
"New Delhi",Others,9916000
Bangalore,"Online RTI application services",9612000
Bangalore,"New Curation Mobile App",9612000
Vadodara,"Online Food Ordering Marketplace",9612000
Mumbai,"Domestic Help Aggregation platform",9612000
Mumbai,"On-demand Maids Service Provider",9612000
Mumbai,"eCommerce Product Search Engine",9612000
Mumbai,"Nightlife Discovery Mobile App",9612000
"New Delhi","Premium Apparel shopping portal",9612000
Mumbai,"Personal Diagnostic Mobile App",9612000
Mumbai,"Online Movie Review Platform",9612000
"New Delhi","Internet of Things platform",9612000
Gurgaon,"Diagnostic Labs aggregator platform",9612000
"New Delhi","Online City & Lifestyle Guide",9612000
"New Delhi","Online Medical Diagnostic",9612000
Bangalore,"Digital Marketing Services",8971200
Mumbai,"Ridesharing Mobile app",8330400
Mumbai,"coupons and cashback aggregator app",8010000
Bangalore,"Social Network for Artists",7689600
"New Delhi","Video Streaming",7689600
"New Delhi","On Demand Laundry Services App",7048800
Chandigarh,Technology,6700000
Trivandrum,"Consumer Internet",6700000
Bhopal,Education,6700000
Jaipur,Education,6700000
"New Delhi","Online Food ordering & Delivery platform",6408000
Kolkata,"On Demand Mobile app developer",6408000
Gurgaon,"Car Maintenance & Management mobile app",6408000
Mumbai,"Cab Sharing service Mobile app",6408000
Bangalore,"Social platform for traders and investors",6408000
Bangalore,"Healthcare Services Discovery platform",6408000
Ahmedabad,"Cloud Based Collaboration platform",6408000
"New Delhi","Travel Destination Discovery platform",6408000
Gurgaon,"Home Made Food Marketplace",6408000
Mumbai,"FinTech Startup Incubation platform",6408000
Mumbai,"ECommerce Brandsâ€™ Full Service Agency",6408000
"New Delhi","Gym & Fitness Studios Subscription platform",6408000
Pune,"Subscription based Online Grocery platform",6408000
Mumbai,"Picture based Social App",6408000
"New Delhi","on-Demand Washing & Dry-Cleaning",6408000
Mumbai,"Industrial Supplies B2B ecommerce",6408000
"New Delhi","Online Car Rental Affiliates",6408000
Chennai,"Fund Raising Platform",6408000
Mumbai,"proximity marketing & Mobile Advertising platform",5126400
Hyderabad,Logistics,5025000
"New Delhi","Food Ordering & Delivery App",4934160
Gurgaon,"Raw Meat & Ready to eat food etailer",4934160
Mumbai,"Location based Nightlife recommendationÂ  Platform",4934160
Hyderabad,"Developer Portfolio Showcase platform",4485600
"NA(Not Available)","Consumer Internet",3517500
Varanasi,"Consumer Internet",3484000
Noida,"Personalized Wish List creator app",3204000
"Mumbai / UK","Consumer Internet",2680000
Kerala,Technology,1809000
Kanpur,"Coupon Aggregator Platform",1281600
Trivandrum,Technology,0
Chandigarh,eCommerce,0
Vadodara,Technology,0
Surat,Technology,0
Karur,eCommerce,0
Udupi,Technology,0
Kochi,"Consumer Internet",0
Singapore,"Consumer Internet",0
Indore,eCommerce,0
Goa,Technology,0
Agra,eCommerce,0
Kochi,Technology,0
Hubli,eCommerce,0
Delhi,"Consumer Internet",0
Chennai,Healthcare,0
Kozhikode,Technology,0
Indore,Technology,0
USA,"Consumer Internet",0
Jaipur,"Real Estate",0
Siliguri,eCommerce,0
Pune,Education,0
London,"Consumer Internet",0
Chennai,Education,0
Pune,Auto,0
Bangalore,Auto,0
"Seattle / Bangalore","Consumer Internet",0
Kanpur,Technology,0
Ahmedabad,"Food & Beverage",0
Bangalore,BFSI,0
Gurgaon,"Real Estate",0
Bangalore,"Consumer Interne",0
Mumbai,"Brand Licensing Startup",0
Gurgaon,"Gourmet Food Discovery & Delivery platform",0
Hyderabad,"Health, Wellness & Beauty Services App",0
"New Delhi","Womens Fashion Wear Portal",0
Bangalore,"Product Learning platform",0
"New Delhi","Social Learning Platform",0
Mumbai,"Social Fitness platform",0
"New Delhi","Splitting Bills Mobile App",0
Gurgaon,"IOT Energy Management Analytics platform",0
Mumbai,"eLearning platform",0
"New Delhi","Cloud Enterprise Mobility Platform",0
"New Delhi","Online Shopping Assistant Mobile app",0
Gurgaon,"Chat based personal Assistant App",0
Chandigarh,"eCommerce returns etailer",0
Bangalore,"Holiday Resort Chain",0
Noida,"Citizens Engagement Platform",0
Mumbai,"Indoor Navigation & Analytics Solutions",0
Gurgaon,"Hyperlocal On-Demand Household Services platform",0
Goa,"ECommerce Website Creation SAAS platform",0
Bangalore,"Interface development platform for Government officials",0
Bangalore,"Private Jet Bookings Marketplace",0
Mumbai,"Event Venue Booking Platform",0
Singapore,"Digital Media Platform",0
"New Delhi","Online Renting platform",0
Bangalore,"Online marketplace for Chef Meals",0
"New Delhi","ECommerce platform solutions",0
Bangalore,"Online Media Publication",0
Bangalore,"Bike, Appliances Renting marketplace",0
"New Delhi","Online Marketplace for Industrial Goods",0
Gurgaon,"Reward points mobile app",0
Gurgaon,"Content Discovery & reward points platform",0
Mumbai,"Digital Coupons, Deal & Cashback aggregator app",0
Gurgaon,"Furniture and appliances rental platform",0
Gurgaon,"Real Estate focused Tech platform",0
Noida,"hyperlocal online Services platform",0
Mumbai,"WiFi â€“ first Cloud communication platform",0
"New Delhi","Voice Call incentivization mobile app",0
"New Delhi","Selfie Mobile App",0
Gurgaon,"Online Reputation Management Platform",0
Noida,"affordable Personal Healthcare Products",0
